"name","gemeinde","link"
"Energieversorgung Büren AG","Büren an der Aare","https://www.ev-bueren.ch"
"Elektrizitätswerk Bürglen AG","Bürglen (TG)","http://www.buerglen-tg.ch/xml_1/internet/de/application/d137/f143.cfm"
"Elektrizitäts-Versorgung Büttikon","Büttikon","https://www.buettikon.ch/umwelt/elektra-buettikon"
"Azienda Elettrica Cama","Cama","https://www.energiadelmoesano.ch/tariffe.html"
"Romande Energie SA (Champéry - Val-d'Illiez)","Champéry","https://www.romande-energie.ch"
"IBC Energie Wasser Chur","Chur","https://ibc-chur.ch/"
"Rabiosa Energie","Churwalden","http://rabiosa-energie.ch"
"Commune de Cornaux","Cornaux","https://www.eli10.ch"
"Services Techniques de la Commune de Cortaillod","Cortaillod","https://www.cortaillod.ch"
"Administration Communale Courchapoix","Courchapoix","https://sec.courchapoix.ch/"
"EWD Elektrizitätswerk Davos AG","Davos","http://www.ewd.ch"
"Services Industriels de la Ville de Delémont","Delémont","https://sid.delemont.ch/"
"EWD","Derendingen","https://www.ewd-derendingen.ch/de/strom/"
"Service électrique Develier","Develier","https://sed.develier.ch/"
"Elektrizitätsversorgung Diepoldsau","Diepoldsau","https://www.diepoldsau.ch/de/wohneninfrastruktur/entsorgung/elektrizitaetsversorgung/privatkunden/"
"Elektrizitätsverwaltung Diessbach bei Büren","Diessbach bei Büren","https://www.diessbach.ch/de/umwelt-und-bauen/elektrizitaet-und-wasser/"
"Elektrizitätsversorgung Diessenhofen","Diessenhofen","https://www.diessenhofen.ch/gemeinde/verwaltung/abteilungen/werke/evd.html/64"
"Gemeindewerke Dietlikon","Dietlikon","https://www.dietlikon.ch/informationen-fuer-privatpersonen/wohnen-arbeiten-einkaufen/strom-wasser-abwasser-gas/strom/"
"EWD Genossenschaft Elektrizitäts- und Wasserwerk","Dozwil","https://www.dozwil.ch/gemeinde/technische-werke.html"
"Glattwerk AG","Dübendorf","https://www.glattwerk.ch"
"Elektrizitätswerk Dürrenäsch","Dürrenäsch","https://www.duerrenaesch.ch/topics/leben-wohnen/strom-wasser/ew-durrenasch"
"Dorfkorporation Ebnat-Kappel","Ebnat-Kappel","http://www.dk-ebnat-kappel.ch/de/versorgung/elektrizitaet/"
"EV Egerkingen","Egerkingen","https://www.evegerkingen.ch"
"Elektra Eggenwil","Eggenwil","https://www.eggenwil.ch"
"Elektra und Wasserkorporation Grub (SG)","Eggersriet","https://www.ewgrubsg.ch/elektra/"
"Elektra Neukirch-Egnach","Egnach","https://www.egnach.ch/de/verwaltung/werkbetriebe/stromversorgung/elektragenossenschaftneukirch/"
"Elektra Eichberg","Eichberg","https://www.eichberg.ch"
"Elektrizitätswerk der Gemeinde Eischoll","Eischoll","https://eischoll.ch"
"Gemeindeverwaltung Eisten Elektrizitätsversorgung","Eisten","https://www.eisten.ch"
"Genossenschaft Elektrizitätswerk Räterschen EWR","Elsau","https://ewr.ewraeterschen.ch/"
"Elektrizitätsversorgung der Gemeinde Eriswil","Eriswil","https://www.eriswil.ch/de/willkommen/"
"Politische Gemeinde Erlen","Erlen","https://www.erlen.ch"
"Werke am Zürichsee (Erlenbach)","Erlenbach (ZH)","http://www.werkezuerichsee.ch/"
"Elektrizitätswerk Ermatingen","Ermatingen","https://www.ermatingen.ch/services/ver-und-entsorgung/elektrizitaetswerk.html/342"
"Gemeindewerke Erstfeld","Erstfeld","http://www.gemeindewerke-erstfeld.ch"
"Politische Gemeinde Eschenz","Eschenz","https://www.eschenz.ch/xml_1/internet/de/application/d4/d29/f41.cfm"
"Technische Werke Eschlikon","Eschlikon","https://www.eschlikon.ch"
"Cooperativa Elettrica di Faido","Faido","http://www.cefaido.ch/"
"Elektrizitätswerk Fehraltorf","Fehraltorf","https://www.fehraltorf.ch/werke/elektrizitaetswerk/"
"Elektrizitätsversorgung Felben-Wellhausen","Felben-Wellhausen","https://www.felben-wellhausen.ch"
"e & w Dussnang","Fischingen","https://www.ewdussnang.ch/"
"Genossenschaft Elektra Fislisbach","Fislisbach","https://www.elektra-fislisbach.ch"
"Technische Betriebe Flawil","Flawil","https://www.tbflawil.ch/"
"Werkbetriebe Frauenfeld","Frauenfeld","http://www.werkbetriebe-frauenfeld.ch"
"Elektra Fulenbach EFU","Fulenbach","https://www.pully.ch/fr/administration/travaux-si/"
"Services Industriels de la Commune de Fully","Fully","https://www.fully.ch/fr/Vivre-a-Fully/Services-municipaux/Services-Industriels/"
"Elektrizitätswerk Fällanden","Fällanden","https://www.faellanden.ch/de/verwaltung/dienstleistungen/?dienst_id=4608"
"Politische Gemeinde Gachnang","Gachnang","https://www.gachnang.ch"
"Gemeindewerke Galgenen","Galgenen","http://www.galgenen.ch/gemeindewerke"
"Elektra Gams","Gams","https://www.elektra-gams.ch"
"EV Gebenstorf AG","Gebenstorf","https://www.gebenstorf.ch/verwaltung/ev-gebenstorf-ag/"
"Technische Betriebe Glarus","Glarus","https://www.tbglarus.ch/"
"Technische Betriebe Glarus Nord","Glarus Nord","https://www.tbgn.ch"
"Technische Betriebe Glarus Süd","Glarus Süd","http://www.tbgs.ch"
"Genossenschaft Licht- und Kraftwerke Glattfelden","Glattfelden","http://www.lkwg.ch"
"Technische Betriebe Goldach","Goldach","https://www.goldach.ch"
"Stadtwerke Gossau","Gossau (SG)","https://www.stadtwerke-gossau.ch"
"Energie Gossau AG","Gossau (ZH)","https://www.energiegossau.ch/"
"Technische Betriebe Grabs","Grabs","https://www.tbgrabs.ch"
"Elektrizitätsversorgung Grosshöchstetten","Grosshöchstetten","https://www.engh-ag.ch"
"Elektrizitätsversorgung Grub AR","Grub (AR)","https://www.grub.ch"
"EVG Grächen AG","Grächen","https://www.evg-graechen.ch"
"TB Gränichen Energie AG","Gränichen","https://www.tbgraenichen.ch/"
"Elektrizitätswerk Grüningen","Grüningen","https://www.grueningen.ch/gemeinde-grueningen/gemeinde/verwaltung/abteilungen/elektrizitaetswerk.html/66"
"Elektrizitätsgenossenschaft Gsteig","Gsteig","https://www.eg-gsteig.ch"
"Elektrizitätswerk der Gemeinde Göschenen","Göschenen","https://www.ew-goeschenen.ch/"
"Elektrizitätswerk der Gemeinde Güttingen","Güttingen","https://www.guettingen.ch"
"Wasser- und Elektrizitätswerk Hallau","Hallau","https://www.hallau.ch"
"Technische Gemeindebetriebe Hauptwil-Gottshaus","Hauptwil-Gottshaus","https://www.hauptwil-gottshaus.ch/"
"Elektra Hatswil","Hefenhofen","https://www.elektra-hatswil.ch"
"Elektrizitätswerk Heiden AG","Heiden","https://www.ewheiden.ch"
"Politische Gemeinde Herdern","Herdern","https://www.herdern.ch/verwaltung/werke-herdern/strom.html/90"
"Elektrizitätswerk Herrliberg","Herrliberg","https://www.herrliberg.ch"
"EWK Herzogenbuchsee AG","Herzogenbuchsee","https://ewk.ch/energie"
"Elektrizitätswerk der Gemeinde Hohentannen","Hohentannen","https://www.hohentannen.ch"
"Elektra Genossenschaft Holderbank","Holderbank (SO)","https://elektraholderbank.ch"
"Elektra-Genossenschaft Homburg","Homburg","https://www.eghomburg.ch/"
"Gemeindewerke Horgen","Horgen","https://www.horgen.ch/gemeindewerke"
"Elektra Horn AG","Horn","https://www.elektrahorn.ch"
"Elektra Buchen - Teuffenthal","Horrenbach-Buchen","www.netzulg.ch/ebt"
"Energie Hunzenschwil AG","Hunzenschwil","https://www.enh.ch"
"Industrielle Betriebe Huttwil AG","Huttwil","https://www.ibhag.ch/"
"HEnergie Härkingen HEH","Härkingen","https://www.heh.ch/"
"Elektro-Genossenschaft Hünenberg","Hünenberg","http://www.egh.ch/"
"Politische Gemeinde Hüttlingen","Hüttlingen","https://www.huettlingen.ch"
"Elektrizitätswerk der Gemeinde Hüttwilen","Hüttwilen","https://www.huettwilen.ch"
"Elektrizitätsversorgung Innerthal","Innerthal","https://www.innerthal.ch/verwaltung/gemeindewerke/"
"Energie- und Wasserversorgung Ins","Ins","https://www.ins.ch/de/verwaltung/abteilungen/detail.php?i=5"
"Elektra Itingen","Itingen","https://www.elektra-itingen.ch"
"Elektrizitätswerk Jenins","Jenins","https://www.jenins.ch/de/VERKEHR-WERKE-EW/ELEKTRIZITAeTSWERK"
"Elektrizitätsgenossenschaft Jonen","Jonen","https://www.eg-m.ch"
"Dorfkorporation Schwarzenbach","Jonschwil","https://dk-schwarzenbach.ch"
"Elektra Kaiserstuhl","Kaiserstuhl","https://www.egk-kaiserstuhl.ch/"
"Elektrizitätsversorgung Kaltbrunn AG","Kaltbrunn","https://www.evk.ch"
"Licht- und Wasserwerk AG","Kandersteg","https://www.lwk.ch"
"Gemeinde Kemmental - Technische Betriebe","Kemmental","https://www.kemmental.ch/de/verwaltungpolitik/verwaltung/abteilungen/?departement_id=1298"
"Elektra Genossenschaft Kesswil","Kesswil","https://www.kesswil.ch"
"Elektra Kestenholz","Kestenholz","https://www.kestenholz.ch/de/energie_tarife"
"Elektrizitäts - Versorgung Killwangen","Killwangen","https://www.killwangen.ch/verwaltung/elektrizitaetsversorgung/"
"EnerCom Kirchberg AG","Kirchberg (BE)","https://www.enercomag.ch/"
"Industrielle Betriebe Kloten AG","Kloten","http://www.ibkloten.ch"
"Elektrizitätswerk Kradolf-Schönenberg","Kradolf-Schönenberg","https://kradolf-schoenenberg.ch/gemeinde/gemeindehaus/werkbetriebe/"
"Technische Betriebe Kreuzlingen","Kreuzlingen","https://www.tbkreuzlingen.ch"
"EWK Energie AG","Kölliken","https://ewk.ch"
"Elektra-Genossenschaft Künten","Künten","https://www.elektra-kuenten.ch/"
"Werke am Zürichsee (Küsnacht)","Küsnacht (ZH)","http://www.werkezuerichsee.ch/"
"Services Industriels Neuveville","La Neuveville","https://www.laneuveville.ch/"
"EW Lachen AG","Lachen","https://www.ewlachen.ch"
"Industrielle Betriebe Langenthal","Langenthal","http://www.ib-langenthal.ch"
"Elektrizitätswerk der Gemeinde Langrickenbach","Langrickenbach","https://www.langrickenbach.ch"
"Energieversorgung der Gemeinde Lantsch/Lenz","Lantsch/Lenz","http://www.lantsch-lenz.ch"
"Städtische Elektrizitätsversorgung Laufenburg","Laufenburg","https://www.laufenburg.ch"
"EWL Genossenschaft Lauterbrunnen","Lauterbrunnen","https://www.ewl.ch/"
"Commune du Landeron","Le Landeron","https://www.eli10.ch/"
"Elektra Leibstadt","Leibstadt","https://www.leibstadt.ch/service-verwaltung/elektra-leibstadt"
"Einwohnergemeinde Lengnau","Lengnau (BE)","https://www.lengnau.ch/de/wohnen-und-leben/ver-und-entsorgung-energie/elektrizitaetsversorgung.php"
"Elektrizitätswerk der Gemeinde Lengwil","Lengwil","https://www.lengwil.ch"
"SWL Energie AG","Lenzburg","https://www.swl.ch"
"Service d'électricité commune de Liddes","Liddes","https://www.liddes.ch/administrations/services-techniques"
"Elektrizitätswerk der Gemeinde Lindau","Lindau","https://www.ew-lindau.ch"
"Elektrizitätswerk der politischen Gemeinde Lommis","Lommis","http://lommis.ch/de/136/energie.html"
"Azienda Elettrica Lostallo","Lostallo","https://www.energiadelmoesano.ch"
"Elektrizitätsversorgung Lotzwil","Lotzwil","https://www.lotzwil.ch/downloads-und-links.html"
"Societad Ovra electrica Lumbrein","Lumnezia","https://www.soel.ch"
"Elektra Luthern","Luthern","https://elektra-luthern.ch"
"Services Industriels Lutry","Lutry","https://www.lutry.ch/vivre-a-lutry/environnement-eau-et-energie/energies-et-reseau/electricite/"
"AG Elektrizitätswerk Maienfeld","Maienfeld","https://www.ewmaienfeld.ch/"
"Elektrizitätswerk der Gemeinde Mammern","Mammern","https://www.mammern.ch/de/"
"Elektrizitätsversorgung Marbach (SG)","Marbach (SG)","https://www.marbach.ch/de/verwaltung/aemter/?amt_id=10364"
"Elektrizitätsgenossenschaft Marthalen","Marthalen","https://www.eg-m.ch"
"Werkbetriebe der Dorfgemeinde Matzingen","Matzingen","https://www.werke-matzingen.ch/wp-content/uploads/2018/10/2019-Tarifblatt-R%C3%BCcklieferung-Klein.pdf"
"Ovra electrica Medel","Medel (Lucmagn)","https://www.medel.ch/ovra-electrica-medel/cuntegn/actual/"
"Versorgungswerke Melchnau","Melchnau","https://melchnau.ch/"
"Elektragenossenschaft Mellikon","Mellikon","https://www.egs-strom.ch/mandate/"
"Elektrizitätswerk Mellingen","Mellingen","https://www.mellingen.ch/verwaltung/dienstleistungen.html/144/egov_service/390"
"Elektrizitäts- & Wasserwerk Mels","Mels","http://www.ewmels.ch"
"Aziende Industriali Mendrisio","Mendrisio","https://www.aim.mendrisio.ch"
"Elektrizitäts-Genossenschaft Benzenschwil","Merenschwand","https://www.elektra-benzenschwil.ch/index.php"
"Commune d'Auvernier","Milvignes","https://www.eli10.ch/"
"Commune de Bôle","Milvignes","http://www.eli10.ch"
"Services Industriels Monthey","Monthey","https://www.monthey.ch/sed2/electricite"
"Dorfkorporation Mosnang","Mosnang","https://www.dk-mosnang.ch"
"Service de l'électricité Moutier","Moutier","https://sim.moutier.ch"
"Gemeindeverwaltung Muhen","Muhen","https://muhen.ch/verwaltung/gemeindewerke/elektrizitatsversorgung"
"Elektrizitätsversorgung Murgenthal","Murgenthal","https://www.murgenthal.ch"
"Infrastruktur Männedorf","Männedorf","https://www.infrastruktur-maennedorf.ch/"
"Politische Gemeinde Märstetten","Märstetten","https://www.maerstetten.ch/xml_1/internet/de/application/d177/d291/f182.cfm"
"Elektrizitätsgenossenschaft Mühlau","Mühlau","https://www.elektra-muehlau.ch/"
"Politische Gemeinde Müllheim","Müllheim","https://www.muellheim.ch"
"Elektrizitäts - Genossenschaft Mülligen","Mülligen","http://www.elektrizitaet-muelligen.ch"
"Elektra Mümliswil-Ramiswil","Mümliswil-Ramiswil","https://www.elektra-muemliswil.ch"
"Einwohnergemeinde Münchenbuchsee","Münchenbuchsee","https://emag.energy/"
"Genossenschaft EW Münchwilen (EWM)","Münchwilen (TG)","https://www.ewmuenchwilen.ch"
"InfraWerkeMünsingen","Münsingen","https://www.inframuensingen.ch/versorgung/stromversorgung"
"Politische Gemeinde Münsterlingen","Münsterlingen","https://secure.i-web.ch/gemweb/muensterlingen/de/verwaltung/werketechnbetriebe/elektrizitaetsversorgung/"
"Elektra Neuendorf","Neuendorf","http://www.neuendorf.ch/2013-08-08-14-55-18.html"
"Elektrizitätswerk Neuenhof","Neuenhof","https://www.ewn-neuenhof.ch/"
"Elektrizitätswerk der Gemeinde Neunforn","Neunforn","https://www.neunforn.ch/strom/"
"Stadtverwaltung Nidau","Nidau","http://ev-nidau.ch/"
"Elektrizitätsversorgung Niederbipp","Niederbipp","https://www.niederbipp.ch"
"Elektra Niederbuchsiten","Niederbuchsiten","https://www.niederbuchsiten.ch/de/energiesicherheit/energiemain/enielektraniederbuchsiten/ueberuns/"
"Elektra Niederbüren","Niederbüren","https://niederbueren.ch/werke-und-entsorgung/elektra/"
"Elektrizitätswerk Niederhelfenschwil","Niederhelfenschwil","https://www.niederhelfenschwil.ch/DE/59/Elektra.htm"
"Elektrizitätswerk Niederwil","Niederwil (AG)","https://www.niederwil.ch/verwaltung/elektrizitaet"
"Services Industriels Nyon","Nyon","http://www.sinyon.ch"
"Elektrizitätsversorgung Oberbuchsiten","Oberbuchsiten","https://www.evoberbuchsiten.ch/"
"Elektrizitätsversorgung Oberdiessbach","Oberdiessbach","https://www.oberdiessbach.ch/artikel/896/Verwaltung/Bauverwaltung/Elektrizit%25C3%25A4tsversorgung"
"Elektra Oberegg","Oberegg","https://www.elektra-oberegg.ch"
"Technische Betriebe Oberentfelden","Oberentfelden","https://www.oberentfelden.ch"
"Politische Gemeinde Oberglatt","Oberglatt","https://www.oberglatt.ch/stromtarife-2019.html"
"Energie Oberhofen AG","Oberhofen am Thunersee","https://oberhofen.ch"
"Elektra Oberlunkhofen","Oberlunkhofen","https://www.elektra.oberlunkhofen.ch"
"Elektrizitätsversorgung Oberriet (SG)","Oberriet (SG)","https://www.oberriet.ch"
"Elektrogenossenschaft Oberrüti","Oberrüti","http://www.oberrueti.ch"
"Elektra Oberwil b. Büren","Oberwil bei Büren","https://www.oberwil-bueren.ch/"
"Elektrizitätsgenossenschaft Oberwil i.S.","Oberwil im Simmental","https://oberwil-im-simmental.ch/ego/"
"Einwohnergemeinde Oberwil-Lieli","Oberwil-Lieli","https://www.oberwil-lieli.ch"
"EW Oftringen AG","Oftringen","https://www.ewoftringen.ch/"
"Elektra-Genossenschaft Olsberg","Olsberg","https://www.olsberg.ch/verwaltung/dienstleistungen/elektragenossenschaft-/-antennengenossenschaft"
