"name","gemeinde","link"
"Genossenschaft Elektra Schönholzerswilen","Schönholzerswilen","https://www.schoenholzerswilen.ch"
"Elektrizitätsversorgung Schübelbach","Schübelbach","https://www.schuebelbach.ch/de/gemeindewerke/elektrizitaetswerk/"
"ELEKTRA Seeberg - Grasswil - Riedtwil","Seeberg","https://www.seeberg.ch/wirtschaft/gewerbe.html/309/company/19"
"Services électrique de la Commune de Sembrancher","Sembrancher","https://www.altis.swiss/"
"Elektrizitätswerk Sennwald","Sennwald","https://www.ewsennwald.ch"
"Elektrizität- und Wasserwerk Sevelen","Sevelen","https://www.ew-sevelen.ch/"
"Energieversorgungsstelle Sils i.D.","Sils im Domleschg","https://www.sils-id.ch"
"Azienda Elettrica Grevasalvas","Sils im Engadin/Segl","https://www.sils-segl.ch"
"Elektra Sins","Sins","https://www.elektra-sins.ch/"
"EW Sirnach AG","Sirnach","https://www.ewsirnach.ch"
"Elektrizitätsversorgung Siselen","Siselen","https://www.siselen.ch/verwaltung/dienstleistungen/"
"Elektra Sissach","Sissach","https://www.elektra-sissach.ch/"
"Elektra Sisseln","Sisseln","https://secure.i-web.ch/gemweb/sisseln/de/uebersichtverwaltung/elektra/"
"Azienda Elettrica Comunale Soazza","Soazza","http://www.energiadelmoesano.ch"
"Elektrizitäts-Genossenschaft Sommeri","Sommeri","http://www.sommeri.ch/Verwaltung/Strom.htm"
"Elektrizitätsversorgung Spreitenbach","Spreitenbach","http://www.spreitenbach.ch/verwaltung/elektrizitaetsversorgung/"
"Technische Betriebe St. Margrethen","St. Margrethen","http://www.stmargrethen.ch/elektrizitaets-und-wasserversorgung"
"AMS Aziende Municipalizzate Stabio","Stabio","https://www.amstabio.ch/index.php/n-elettricita"
"Elektrizitätswerk Stalden","Stalden (VS)","https://www.stalden.ch"
"EDSR Energiedienste Staldenried AG","Staldenried","http://www.edsr.ch"
"Elektrizitätsverwaltung Staufen","Staufen","https://www.staufen.ch"
"Stadtverwaltung EW Werkbetriebe Steckborn","Steckborn","https://www.steckborn.ch"
"Energiedienste Steg-Hohtenn AG","Steg-Hohtenn","https://www.edsh.ch"
"Elektrizitätsversorgung Steinach","Steinach","https://www.steinach.ch/de/umweltundmobilitaet/EnergieZukunft-Steinach/index.php"
"Wasser- & Elektrizitätswerk Steinhausen","Steinhausen","https://www.west-steinhausen.ch"
"Elektrizitätswerk der Gemeinde Stettfurt","Stettfurt","http://www.stettfurt.ch"
"Gemeindewerke Stäfa","Stäfa","https://www.gws.ch"
"Technische Betriebe Suhr","Suhr","https://www.tbsuhr.ch"
"Elektrizitätswerk der Gemeinde Sulgen","Sulgen","http://www.sulgen.ch/xml_1/internet/de/application/d15/d30/f340.cfm"
"Energie AG Sumiswald","Sumiswald","https://www.energieag.ch/"
"EW Surses","Surses","https://www.surses.ch/DE/verwaltung/ew.html"
"Technische Betriebe Thal","Thal","https://www.altenrhein.ch/de/techbetriebe/techmain/"
"Elektrizitätsversorgung Thalheim","Thalheim (AG)","https://www.gemeinde-thalheim.ch"
"Energie Thun AG","Thun","http://www.energiethun.ch"
"Technische Werke der Gemeinde Thundorf","Thundorf","http://www.thundorf.ch/xml_1/internet/de/application/d291/d525/f294.cfm"
"Technische Werke der Gemeinde Tobel-Tägerschen","Tobel-Tägerschen","https://www.tobel-taegerschen.ch/xml_1/internet/de/application/d15/d22/f23.cfm"
"Services Techniques Tramelan","Tramelan","https://set.tramelan.ch/"
"Gemeinde Trimmis","Trimmis","http://www.trimmis.ch"
"Elektrizitätswerk der Gemeinde Tschiertschen-Praden","Tschiertschen-Praden","https://tschiertschen-praden.ch/infrastruktur/tlektrizitaetswerk-tschiertschen-praden/"
"Elektrizitätswerk Tuggen","Tuggen","http://www.tuggen.ch/de/verwaltung/aemter/welcome.php?amt_id=5228"
"energia alpina","Tujetsch","https://www.energia-alpina.ch"
"Elektrizitätswerk Tägerwilen","Tägerwilen","https://www.taegerwilen.ch"
"Elektrizitätswerk Täsch","Täsch","https://www.gemeinde-taesch.ch"
"Elektrizitätswerk der Gemeinde Törbel","Törbel","https://www.toerbel.ch"
"Elektra Tübach","Tübach","https://www.tuebach.ch/verwaltung/dienstleistungen/"
"Elektrizitätsversorgung Ueken","Ueken","https://www.ueken.ch/elektra/"
"Energieversorgung der Gemeinde Uesslingen - Buch","Uesslingen-Buch","https://www.uesslingen-buch.ch/verwaltung/gemeindeverwaltung/abteilungen/energieversorgung.html/83"
"Elektra Ufhusen","Ufhusen","https://ufhusen.ch/verwaltung/elektra-ufhusen/"
"Elektrizitätswerk Unterbäch","Unterbäch","http://gemeinde.unterbaech.ch/informationen/energie.php"
"Elektra Untereggen","Untereggen","https://www.untereggen.ch/de/"
"Elektra Unterlunkhofen","Unterlunkhofen","http://www.unterlunkhofen.ch"
"Elektroversorgung Untervaz","Untervaz","https://www.untervaz.ch"
"Elektrizitätswerk Urnäsch AG","Urnäsch","https://www.ewurnaesch.ch"
"Elektrizitätsversorgung Ursenbach","Ursenbach","https://www.ursenbach.ch/infrastruktur/elektrizita%CC%88tsversorgung"
"Energie Uster AG","Uster","https://www.energieuster.ch/"
"Elektrizitätswerk Uznach AG","Uznach","https://www.ewu.ch"
"Provedimaint Electric Val Müstair","Val Müstair","http://www.pemonline.info/"
"Elektrizitätswerk der Gemeinde Vals","Vals","https://vals.ch/gemeinde/elektrizitaetswerk/"
"Elektrizitätswerk Vaz/Obervaz","Vaz/Obervaz","https://www.vazobervaz.ch/gemeinde/werke/strom-ewo/"
"Elektrizitätsversorgung Villigen","Villigen","https://www.villigen.ch"
"Elektrizitätswerk Vilters-Wangs","Vilters-Wangs","https://www.vilters-wangs.ch"
"Elektrizitätswerk Riedbach","Visperterminen","http://www.ewriedbach.ch"
"Services électriques de Vollèges","Vollèges","https://www.altis.swiss/"
"Gemeindeverwaltung Vorderthal","Vorderthal","https://www.vorderthal.ch/"
"Elektrizitätswerk der PG Wagenhausen","Wagenhausen","https://www.wagenhausen.ch/verwaltung/dienstleistungen.html/212/egov_service/439"
"EW Wald AG","Wald (ZH)","https://www.ew-wald.ch"
"Wasser- & Elektrizitätswerk Walenstadt","Walenstadt","https://www.ew-walenstadt.ch"
"die werke versorgung wallisellen ag","Wallisellen","https://www.diewerke.ch"
"Elektrizitätswerk der Gemeinde Wangen","Wangen (SZ)","https://www.ewwangensz.ch"
"Werke Wangen-Brüttisellen","Wangen-Brüttisellen","http://www.werkewb.ch"
"Elektrizitätswerk Azmoos","Wartau","https://www.ev-wartau.ch"
"Gemeinde Warth-Weiningen","Warth-Weiningen","https://www.warth-weiningen.ch/xml_1/internet/de/application/d4/d136/f137.cfm"
"Thurwerke AG","Wattwil","https://thurwerke.ch"
"Technische Betriebe Weinfelden AG","Weinfelden","https://www.tbweinfelden.ch/"
"Elektrizitäts- und Wasserwerk Wettingen","Wettingen","https://www.ew-wettingen.ch"
"Stadtwerke Wetzikon","Wetzikon (ZH)","https://www.wetzikon.ch/stadtwerke-wetzikon"
"Elektrizitätsversorgung der Gemeinde Wichtrach","Wichtrach","https://www.wichtrach.ch/xml_1/internet/de/application/d30/f33.cfm"
"Elektra Widen Betriebs AG","Widen","https://www.elektra-widen.ch"
"Elektrizitätsversorgung der Gemeinde Widnau","Widnau","https://www.widnau.ch/de/verwaltung/aemter/?amt_id=1950"
"Elektrizitätswerk Wigoltingen","Wigoltingen","https://www.wigoltingen.ch"
"Technische Betriebe Wil","Wil (SG)","https://www.tb-wil.ch"
"Gemeindebetriebe Windisch","Windisch","https://www.windisch.ch"
"Stadtwerk Winterthur","Winterthur","https://stadtwerk.winterthur.ch/"
"Elektrizitätsversorgung Wittenbach","Wittenbach","https://www.wittenbach.ch/de/polverw/aemter/?amt_id=6715"
"IB Wohlen AG","Wohlen (AG)","http://www.ibw.ag/home"
"Elektrizitätswerk Wohlenschwil","Wohlenschwil","https://www.wohlenschwil.ch/verwaltung/elektrizitaetsversorgung/"
"Elektra Wolfwil","Wolfwil","http://www.elektra-wolfwil.ch"
"Elektra Wuppenau","Wuppenau","https://www.wuppenau.ch"
"Werkbetriebe Wynau WBW","Wynau","https://www.wynau.ch/werkbetriebefs"
"Politische Gemeinde Wäldi","Wäldi","https://www.waeldi.ch/gemeinde/verwaltung/dienstleistungen.html/109/egov_service/377"
"Technische Gemeindebetriebe Wängi","Wängi","https://tbwaengi.ch"
"Elektrizitätswerk Würenlingen","Würenlingen","https://www.wuerenlingen.ch/verwaltung/elektrizitaetsversorgung/"
"Technische Betriebe Würenlos","Würenlos","https://www.tbwnet.ch"
"Service des Energies de la Ville d'Yverdon-les-Bains","Yverdon-les-Bains","https://www.yverdon-energies.ch/"
"Elektrizitäts - Versorgung Zeihen","Zeihen","https://www.zeihen.ch/xml_1/internet/de/application/d18/d243/f329.cfm"
"EV Zeiningen","Zeiningen","https://www.zeiningen.ch"
"Elektrizitätsgenossenschaft Zeneggen","Zeneggen","https://www.zeneggen.ch/dorfleben/elektrizitaetsgenossenschaft"
"Elektrizitätswerk Zermatt AG","Zermatt","https://www.ewzermatt.ch/"
"Elektra Zihlschlacht-Riet","Zihlschlacht-Sitterdorf","https://www.elektra-zihlschlacht-riet.ch"
"Werke am Zürichsee (Zollikon)","Zollikon","https://www.werkezuerichsee.ch/"
"Elektra Zufikon","Zufikon","https://zufikon.ch"
"Elektrizitätswerk Zuzwil (SG)","Zuzwil (SG)","http://www.zuzwil.ch/index.php/energie-und-entsorgung/ew-zuzwil"
